Gene	01CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	01CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	01CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	02CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	03CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	04CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	05CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	06CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	07CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	08CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	09CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	10CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	11CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	12CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	Spectral Counts	Distinct Peptides	Unshared Peptides	NCBIGeneID	Authority	Description	Organism	Chromosome	Locus	Proteins	Assays
ABI3BP	17	12	12	28	20	20	28	19	19	16	13	13	16	13	13	25	19	19	14	11	11	18	15	15	16	14	14	15	14	14	22	13	13	12	8	8	227	35	35	25890	HGNC:17265	ABI family member 3 binding protein	Homo sapiens	3	3q12.2	D3YTG3;E9PPR9;H0Y897;H0YEA0;H7C4X4;H7C556;NP_001336258.1;NP_001336259.1;NP_001336260.1;NP_001336261.1;NP_056244.2;Q5JPC9;Q7Z7G0;Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4;XP_005247338.1;XP_005247339.1;XP_005247340.1;XP_005247341.1;XP_005247342.1;XP_005247344.1;XP_005247345.1;XP_005247346.1;XP_005247347.1;XP_005247348.1;XP_005247350.1;XP_005247351.1;XP_005247352.1;XP_005247353.1;XP_005247355.1;XP_005247356.1;XP_005247357.1;XP_005247358.1;XP_005247359.1;XP_005247360.1;XP_005247362.1;XP_005247363.1;XP_005247366.1;XP_006713632.1;XP_006713633.1;XP_006713634.1;XP_006713635.1;XP_011510941.1;XP_011510942.1;XP_011510943.1;XP_011510945.1;XP_011510946.1;XP_011510947.1;XP_011510948.1;XP_011510949.1;XP_011510950.1;XP_011510951.1;XP_011510953.1;XP_011510955.1;XP_011510956.1;XP_011510958.1;XP_011510959.1;XP_011510960.1;XP_011510961.1;XP_011510962.1;XP_016861594.1;XP_016861595.1;XP_016861596.1;XP_016861597.1	
ABL1	2	1	1	2	1	1	7	5	4	4	4	4	3	3	3	6	6	5	4	4	3	5	4	4	5	5	4	7	6	5	5	4	4	5	5	4	55	24	22	25	HGNC:76	ABL proto-oncogene 1, non-receptor tyrosine kinase	Homo sapiens	9	9q34.12	NP_005148.2;NP_009297.2;P00519;P00519-2	CPTAC-1788
ABLIM1	25	21	21	33	23	22	27	20	19	53	36	34	38	25	24	42	27	26	46	27	26	52	29	28	49	32	31	41	31	30	56	35	34	33	23	22	495	57	55	3983	HGNC:78	actin binding LIM protein 1	Homo sapiens	10	10q25.3	A0A0A0MRL6;F6XFR5;F8W8M4;H0Y7N6;J3QSX6;NP_001003407.1;NP_001003408.1;NP_001309811.1;NP_001309812.1;NP_001309813.1;NP_001309814.1;NP_001309815.1;NP_001309816.1;NP_001309817.1;NP_001309818.1;NP_001309819.1;NP_001309820.1;NP_001309821.1;NP_001309822.1;NP_001309823.1;NP_001309824.1;NP_001309825.1;NP_001309826.1;NP_001309827.1;NP_001309828.1;NP_001309829.1;NP_001339369.1;NP_001339370.1;NP_001339371.1;NP_001339372.1;NP_002304.3;NP_006711.3;O14639;O14639-2;O14639-3;O14639-4;O14639-5;O14639-6;XP_005269883.1;XP_005269884.1;XP_006717900.1;XP_006717909.1;XP_006717910.1;XP_011538103.1;XP_011538104.1;XP_011538105.1;XP_011538107.1;XP_016871731.1;XP_016871732.1;XP_016871733.1;XP_016871734.1;XP_016871735.1;XP_016871736.1;XP_016871737.1;XP_016871738.1;XP_016871739.1;XP_016871740.1;XP_016871741.1;XP_016871742.1;XP_016871743.1;XP_016871744.1;XP_016871745.1;XP_016871746.1;XP_016871748.1	
ABLIM2	0	0	0	0	0	0	3	1	0	2	1	0	1	1	0	2	2	1	3	1	0	5	4	3	2	1	0	6	5	4	3	2	1	4	4	3	31	10	9	84448	HGNC:19195	actin binding LIM protein family member 2	Homo sapiens	4	4p16.1	D6RAL0;F5GYR0;NP_001123555.1;NP_001123556.1;NP_001123557.1;NP_001123558.1;NP_001123559.1;NP_001123560.1;NP_001273617.1;NP_115808.3;Q6H8Q1;Q6H8Q1-2;Q6H8Q1-3;Q6H8Q1-4;Q6H8Q1-5;Q6H8Q1-6;Q6H8Q1-7;Q6H8Q1-8;Q6H8Q1-9;XP_005248071.1;XP_005248074.1;XP_005248075.1;XP_005248076.1;XP_005248077.1;XP_005248078.1;XP_005248079.1;XP_005248080.1;XP_005248081.1;XP_005248084.1;XP_005248085.1;XP_005248086.1;XP_005248087.1;XP_005248088.1;XP_006713986.1;XP_006713987.1;XP_006713988.1;XP_006713990.1;XP_011511888.1;XP_016864195.1;XP_016864196.1;XP_016864197.1;XP_016864198.1;XP_016864199.1;XP_016864200.1;XP_016864201.1;XP_016864202.1;XP_016864203.1;XP_016864204.1;XP_016864205.1;XP_016864206.1;XP_016864207.1;XP_016864208.1;XP_016864209.1;XP_016864210.1;XP_016864211.1;XP_016864212.1;XP_016864213.1;XP_016864214.1;XP_016864215.1;XP_016864216.1	
ABR	11	9	8	8	7	6	19	16	14	9	9	8	10	7	6	18	15	13	16	14	12	8	7	6	11	11	9	14	12	11	15	13	12	20	17	16	159	32	30	29	HGNC:81	active BCR-related	Homo sapiens	17	17p13.3	A0A0D9SGD7;A0A0G2JQ41;A0A0G2JQT5;A0A0G2JRJ1;A0A0G2JSE0;A0A1C7CYZ0;B7Z683;I3L0R7;I3L1U8;I3L2C0;I3L2P5;I3L379;I3L3W0;I3L4Y1;I3NI05;NP_001083.2;NP_001153218.1;NP_001243776.1;NP_001269078.1;NP_001309769.1;NP_001309770.1;NP_001309771.1;NP_068781.2;Q12979;Q12979-2;Q12979-3;Q12979-4;XP_011522112.1;XP_011522113.2;XP_011522114.1;XP_011522115.1;XP_011522116.1;XP_011522117.1;XP_016880028.1;XP_016880029.1;XP_016880030.1;XP_016880031.1;XP_016880032.1	
ABRACL	14	7	7	10	7	7	29	13	13	11	5	5	7	5	5	13	8	8	14	10	10	11	5	5	18	7	7	12	8	8	12	3	3	14	9	9	165	19	19	58527	HGNC:21230	ABRA C-terminal like	Homo sapiens	6	6q24.1	NP_067066.1;Q5SZC9;Q9P1F3;XP_016866640.1	
ABRAXAS1	3	3	3	1	1	1	3	3	3	4	3	3	3	3	3	3	3	3	2	2	2	4	4	4	2	2	2	2	2	2	2	2	2	6	6	6	35	15	15	84142	HGNC:25829	abraxas 1, BRCA1 A complex subunit	Homo sapiens	4	4q21.23	A0A087WWJ9;A0A087WXK1;A0A087WZ78;D6REL5;NP_001332891.1;NP_620775.2;Q6UWZ7;Q6UWZ7-2;XP_005263337.1	
ABRAXAS2	9	8	8	6	6	6	10	8	8	15	13	13	15	13	12	11	9	8	16	10	10	15	12	12	14	12	12	15	10	9	13	12	11	21	12	12	160	19	18	23172	HGNC:28975	abraxas 2, BRISC complex subunit	Homo sapiens	10	10q26.13	NP_115558.3;Q15018;XP_011537856.1;XP_016871475.1	
ABT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1	0	0	0	3	3	3	2	2	2	3	2	2	18	8	8	29777	HGNC:17369	activator of basal transcription 1	Homo sapiens	6	6p22.2	NP_037507.1;Q9ULW3	
ACAA1	27	14	14	25	14	14	44	20	20	43	19	19	50	21	21	44	23	23	52	18	18	44	20	20	47	19	19	39	18	18	46	18	18	54	23	23	515	33	33	30	HGNC:82	acetyl-CoA acyltransferase 1	Homo sapiens	3	3p22.2	B4DVF4;C9JDE9;F2Z2Q6;F2Z3P7;H0Y4D4;H7C131;NP_001123882.1;NP_001598.1;P09110;P09110-2;XP_006713185.1;XP_006713186.1;XP_011531952.1	
ACAA2	74	39	38	97	39	38	93	37	36	107	37	36	78	33	32	67	36	35	96	38	37	89	39	38	87	34	33	83	39	38	86	36	35	91	44	43	1048	59	58	10449	HGNC:83	acetyl-CoA acyltransferase 2	Homo sapiens	18	18q21.1	A0A0B4J2A4;K7EJ68;K7EJB1;K7EME0;K7ER88;NP_006102.2;P42765	CPTAC-158;CPTAC-159
ACACA	22	18	13	32	29	23	27	26	20	42	36	27	31	26	22	29	25	22	34	31	24	33	25	16	30	25	21	25	22	18	39	32	26	36	29	24	380	82	68	31	HGNC:84	acetyl-CoA carboxylase alpha	Homo sapiens	17	17q12	A0A087WWN5;A0A087WYK6;A0A087X0W4;A0A087X126;A0A087X2F8;A0A0C4DGT1;NP_942131.1;NP_942133.1;NP_942134.1;NP_942135.1;NP_942136.1;Q13085;Q13085-2;Q13085-3;Q13085-4;Q59FY4;XP_005257324.1;XP_006721916.1;XP_011523003.1;XP_011523005.1;XP_011523006.1;XP_016880042.1;XP_016880043.1;XP_016880044.1	
ACACB	10	10	5	19	18	12	7	7	1	33	32	23	9	7	3	7	6	3	8	8	1	29	24	15	5	4	0	6	5	1	7	6	0	8	6	1	148	57	43	32	HGNC:85	acetyl-CoA carboxylase beta	Homo sapiens	12	12q24.11	A0A087WUA1;F5H5C3;F8W8T8;H0YGH5;NP_001084.3;O00763;O00763-2;O00763-3;S4R3S7;XP_005253933.1;XP_006719430.1;XP_011536561.1;XP_011536565.1;XP_011536566.1;XP_011536567.1;XP_016874741.1	
ACAD10	6	6	6	10	9	9	11	9	9	25	20	20	15	12	12	22	15	15	24	18	18	19	14	14	11	10	10	11	9	9	9	8	8	26	18	18	189	37	37	80724	HGNC:21597	acyl-CoA dehydrogenase family member 10	Homo sapiens	12	12q24.12	D6RFF6;F8VXK4;F8W0Q4;F8W179;F8W1I9;NP_001130010.1;NP_079523.3;Q6JQN1;Q6JQN1-2;Q6JQN1-3;Q6JQN1-4;Q6JQN1-5	
ACAD11	3	3	3	2	2	2	0	0	0	6	2	2	2	2	2	6	5	5	10	10	10	4	4	4	4	4	4	3	3	3	3	3	3	4	4	4	47	18	18	84129	HGNC:30211	acyl-CoA dehydrogenase family member 11	Homo sapiens	3	3q22.1	D6RDI8;F8WEV0;H0Y9C6;NP_115545.3;Q709F0;Q709F0-2;Q709F0-3	
ACAD8	17	10	9	14	10	10	15	10	10	17	11	10	20	13	12	14	12	11	22	16	15	20	14	13	15	10	9	16	12	11	25	16	15	23	15	14	218	26	25	27034	HGNC:87	acyl-CoA dehydrogenase family member 8	Homo sapiens	11	11q25	E9PLS3;NP_055199.1;Q9UKU7;Q9UKU7-2;Q9UKU7-3;XP_005271562.1;XP_011541052.1;XP_016873031.1;XP_016873032.1;XP_016873033.1;XP_016873034.1;XP_016873035.1;XP_016873036.1;XP_016873037.1;XP_016873038.1	
ACAD9	39	25	24	29	21	21	41	24	24	44	29	28	51	35	34	48	34	33	59	38	37	51	33	32	65	35	34	45	29	28	62	34	33	73	38	37	607	57	56	28976	HGNC:21497	acyl-CoA dehydrogenase family member 9	Homo sapiens	3	3q21.3	D6RCD8;H0Y8Z9;NP_054768.2;Q9H845;XP_016861753.1;XP_016861754.1	
ACADM	36	19	19	48	23	23	48	24	24	47	22	22	34	20	20	39	25	25	45	21	21	42	28	27	34	21	21	38	20	19	40	17	17	43	22	22	494	45	44	34	HGNC:89	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Homo sapiens	1	1p31.1	B7Z9I1;E9PJM9;E9PRX4;H0YDT5;NP_000007.1;NP_001120800.1;NP_001272971.1;NP_001272972.1;NP_001272973.1;P11310;P11310-2;Q5T4U5	
ACADS	16	13	13	12	9	9	8	7	7	31	20	20	12	10	10	18	14	14	19	15	15	22	15	15	13	10	10	15	12	12	18	13	13	19	14	14	203	29	29	35	HGNC:90	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Homo sapiens	12	12q24.31	E9PE82;NP_000008.1;NP_001289483.1;P16219	
ACADSB	15	10	10	14	9	9	24	15	15	20	13	13	20	15	15	16	12	12	23	17	17	20	15	15	26	17	17	17	13	13	20	13	13	29	14	14	244	27	27	36	HGNC:91	acyl-CoA dehydrogenase, short/branched chain	Homo sapiens	10	10q26.13	NP_001317103.1;NP_001600.1;P45954;P45954-2	
ACADVL	101	46	46	109	45	45	99	49	49	123	46	46	112	49	49	119	52	52	132	51	51	115	46	46	114	45	45	122	50	50	123	53	53	105	47	47	1374	80	80	37	HGNC:92	acyl-CoA dehydrogenase, very long chain	Homo sapiens	17	17p13.1	G3V1M7;J3KS89;J3KSR4;J3QKU9;J3QRJ8;K7EJW8;K7EMF8;K7EQP4;NP_000009.1;NP_001029031.1;NP_001257376.1;NP_001257377.1;P49748;P49748-2;P49748-3;XP_006721579.2;XP_011522131.1;XP_011522132.1	CPTAC-454;CPTAC-455
ACAP1	2	2	2	1	1	0	7	7	7	1	1	0	2	2	2	4	4	3	2	2	1	3	3	1	1	1	0	2	2	1	5	4	3	0	0	0	30	16	14	9744	HGNC:16467	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Homo sapiens	17	17p13.1	I3L0K9;I3L268;NP_055531.1;Q15027	
ACAP2	29	23	23	32	25	24	35	25	25	37	28	27	31	24	24	42	33	32	35	28	27	24	21	19	35	27	26	27	23	22	42	26	25	38	28	28	407	51	49	23527	HGNC:16469	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Homo sapiens	3	3q29	A0A087X1H5;A0A0U1RQT1;C9J8L1;F8WAU0;H7C3K3;H7C3Q8;NP_036419.3;Q15057;XP_006713620.1;XP_011510904.1;XP_011510905.1;XP_011510906.1;XP_011510907.1;XP_011510908.1;XP_016861535.1;XP_016861536.1;XP_016861537.1;XP_016861538.1	
ACAT1	90	42	42	115	40	40	129	47	47	107	45	45	130	41	41	90	36	36	140	43	43	109	40	40	138	41	41	143	41	41	113	36	36	146	50	50	1450	74	74	38	HGNC:93	acetyl-CoA acetyltransferase 1	Homo sapiens	11	11q22.3	E9PKF3;E9PRQ6;H0YEL7;NP_000010.1;P24752;P24752-2;XP_006718898.1;XP_016873170.1;XP_016873171.1;XP_016873172.1	
ACAT2	21	13	13	29	15	15	37	19	19	34	18	18	45	20	20	25	13	13	42	18	18	35	20	20	42	19	19	36	15	15	31	16	16	56	23	23	433	36	36	39	HGNC:94	acetyl-CoA acetyltransferase 2	Homo sapiens	6	6q25.3	NP_001290182.1;NP_005882.2;Q9BWD1;Q9BWD1-2	
ACBD3	27	16	16	25	18	18	29	18	18	29	19	19	38	21	21	35	20	20	36	20	20	36	21	21	32	17	17	34	21	21	45	21	21	47	24	24	413	39	39	64746	HGNC:15453	acyl-CoA binding domain containing 3	Homo sapiens	1	1q42.12	NP_073572.2;Q9H3P7	
ACBD5	18	10	10	8	6	6	16	7	7	16	10	10	12	8	8	14	9	9	13	9	9	9	7	7	25	11	11	15	12	12	11	10	10	13	10	10	170	18	18	91452	HGNC:23338	acyl-CoA binding domain containing 5	Homo sapiens	10	10p12.1	A0A087X0B8;B7Z2R7;NP_001035938.1;NP_001258441.1;NP_001288180.1;NP_001288181.1;NP_001288182.1;NP_001288183.1;NP_001339497.1;NP_001339498.1;NP_001339499.1;NP_001339500.1;NP_001339501.1;NP_001339502.1;NP_001339503.1;NP_001339504.1;NP_001339505.1;NP_001339506.1;NP_001339507.1;NP_001339508.1;NP_001339509.1;NP_001339510.1;NP_001339511.1;NP_001339512.1;NP_001339513.1;NP_001339514.1;NP_001339515.1;NP_001339516.1;NP_001339517.1;NP_663736.2;Q5T8D3;Q5T8D3-2;Q5T8D3-3;Q5T8D3-4;Q5T8E0;X6RDD7;XP_006717591.3;XP_016872373.1;XP_016872374.1;XP_016872375.1;XP_016872376.1;XP_016872377.1;XP_016872378.1;XP_016872379.1;XP_016872382.1;XP_016872383.1;XP_016872384.1;XP_016872385.1;XP_016872387.1;XP_016872389.1;XP_016872390.1;XP_016872391.1;XP_016872393.1;XP_016872394.1	
ACBD6	1	1	1	2	2	2	4	4	4	4	3	3	5	4	4	5	4	4	4	4	4	4	4	4	4	3	3	5	5	5	5	5	5	3	2	2	46	11	11	84320	HGNC:23339	acyl-CoA binding domain containing 6	Homo sapiens	1	1q25.2-q25.3	NP_115736.1;Q9BR61	
ACBD7	6	5	5	2	2	2	1	1	1	4	3	3	1	1	1	2	2	2	5	3	3	4	4	4	4	3	3	2	2	2	4	4	4	6	5	5	41	6	6	414149	HGNC:17715	acyl-CoA binding domain containing 7	Homo sapiens	10	10p13	NP_001034933.1;Q8N6N7	
ACE	7	6	6	4	4	4	7	7	7	5	5	5	5	5	5	15	12	12	8	8	8	9	8	8	4	4	4	13	12	12	11	10	10	7	6	6	95	24	24	1636	HGNC:2707	angiotensin I converting enzyme	Homo sapiens	17	17q23.3	A0A0A0MSN4;J3KS28;J3KSQ5;J3KTB8;J3KTH9;J3QLR4;J3QRX8;NP_000780.1;NP_001171528.1;NP_690043.1;P12821;P12821-2;P12821-3;P12821-4;XP_006721800.2	
ACIN1	86	49	48	76	46	46	87	51	51	88	50	49	83	60	60	89	55	55	101	58	58	111	60	60	112	56	56	93	51	51	114	60	60	101	61	61	1141	102	101	22985	HGNC:17066	apoptotic chromatin condensation inducer 1	Homo sapiens	14	14q11.2	A0A087WYN3;E7EQT4;G3V3B0;G3V3T3;NP_001158286.1;NP_001158287.1;NP_001158288.1;NP_001158289.1;NP_055792.1;Q9UKV3;Q9UKV3-2;Q9UKV3-3;Q9UKV3-5;S4R3H4;XP_005267472.1;XP_005267473.1;XP_005267475.1;XP_006720144.1;XP_011534872.1	CPTAC-1342
ACLY	155	71	71	130	61	61	152	73	73	147	63	63	119	61	61	146	72	72	161	71	71	109	55	55	131	67	67	121	60	60	135	65	65	155	69	69	1661	121	121	47	HGNC:115	ATP citrate lyase	Homo sapiens	17	17q21.2	K7EIE7;K7ESG8;NP_001087.2;NP_001290203.1;NP_001290204.1;NP_942127.1;P53396;P53396-2;P53396-3;XP_005257452.1;XP_016880177.1	
ACO1	91	48	47	97	49	48	86	49	48	96	54	53	104	49	48	101	52	52	103	50	49	96	53	53	94	45	44	107	52	51	115	53	53	92	51	50	1182	90	88	48	HGNC:117	aconitase 1	Homo sapiens	9	9p21.1	NP_001265281.1;NP_002188.1;P21399;XP_005251533.1;XP_011516190.1	
ACO2	150	60	60	157	59	59	188	75	75	198	67	67	177	71	71	187	78	78	220	69	69	198	85	85	236	80	80	161	65	65	195	73	73	226	89	89	2293	145	145	50	HGNC:118	aconitase 2	Homo sapiens	22	22q13.2	A2A274;NP_001089.1;Q99798;XP_016884301.1	
ACOT11	4	4	4	2	2	2	2	2	2	4	4	4	6	5	5	4	3	3	6	6	6	6	4	4	4	3	3	3	2	2	3	3	3	5	4	4	49	14	14	26027	HGNC:18156	acyl-CoA thioesterase 11	Homo sapiens	1	1p32.3	NP_056362.1;NP_671517.1;Q8WXI4;Q8WXI4-2	
ACOT13	9	5	5	15	6	6	12	7	7	18	7	7	21	9	9	20	8	8	20	7	7	12	6	6	15	6	6	12	5	5	18	8	8	13	7	7	185	12	12	55856	HGNC:20999	acyl-CoA thioesterase 13	Homo sapiens	6	6p22.3	NP_001153566.1;NP_060943.1;Q9NPJ3;Q9NPJ3-2	
ACOT2	26	18	18	32	20	20	32	19	19	52	30	30	37	22	22	23	19	19	34	24	24	39	27	27	26	19	19	28	22	22	34	25	25	31	18	18	394	45	45	10965	HGNC:18431	acyl-CoA thioesterase 2	Homo sapiens	14	14q24.3	A0A087WT95;A0A087X0W7;NP_006812.3;P49753;P49753-2;XP_006720070.1;XP_016876426.1	
ACOT7	20	12	12	19	11	11	17	12	12	16	8	8	30	16	16	29	16	16	43	14	14	24	15	15	11	8	8	20	11	11	17	10	10	26	15	15	272	29	29	11332	HGNC:24157	acyl-CoA thioesterase 7	Homo sapiens	1	1p36.31	K7EKP8;NP_009205.3;NP_863654.1;NP_863655.1;NP_863656.1;O00154;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7	CPTAC-303;CPTAC-304
ACOT8	5	5	5	3	3	3	12	10	10	6	6	6	6	6	6	6	5	5	10	8	8	8	8	8	6	5	5	7	7	7	5	5	5	11	10	9	85	18	17	10005	HGNC:15919	acyl-CoA thioesterase 8	Homo sapiens	20	20q13.12	E9PIS4;E9PJN0;E9PMC4;E9PRD4;F6VBM3;H0Y698;H7C5A7;NP_005460.2;O14734;Q9BR14;XP_005260296.1;XP_011526782.1	
ACOT9	40	23	23	41	20	20	39	25	25	41	25	25	41	27	27	48	26	26	49	24	24	38	24	24	49	26	26	46	27	27	42	21	21	57	26	26	531	45	45	23597	HGNC:17152	acyl-CoA thioesterase 9	Homo sapiens	X	Xp22.11	C9J7L8;F8WDI2;H7C5Q2;NP_001028755.2;NP_001032248.1;NP_001317188.1;Q9Y305;Q9Y305-2;Q9Y305-3;Q9Y305-4	
ACOX1	18	13	13	24	17	17	18	14	14	18	12	12	18	16	16	22	18	18	42	25	25	19	16	16	25	20	20	19	17	17	43	26	26	26	20	20	292	37	37	51	HGNC:119	acyl-CoA oxidase 1	Homo sapiens	17	17q25.1	I3L0T4;I3L2U4;I3L4S5;K7ELT1;K7ENF1;K7ESC7;NP_001171968.1;NP_004026.2;NP_009223.2;Q15067;Q15067-2;Q15067-3;XP_011523170.1;XP_011523171.1	
ACOX2	1	1	1	1	1	1	0	0	0	6	6	6	1	1	1	1	1	1	0	0	0	3	3	3	2	2	2	5	4	4	6	6	6	10	9	9	36	15	15	8309	HGNC:120	acyl-CoA oxidase 2	Homo sapiens	3	3p14.3	C9J0G0;C9JY29;H7C4Q2;H7C4Y2;NP_003491.1;Q99424;XP_005265562.1;XP_006713403.1;XP_016862791.1	
ACOX3	9	7	7	10	9	9	13	8	8	9	7	7	7	7	6	9	8	7	11	10	9	12	9	9	11	9	9	19	14	13	12	10	9	16	13	13	138	25	23	8310	HGNC:121	acyl-CoA oxidase 3, pristanoyl	Homo sapiens	4	4p16.1	D6RJ89;NP_001095137.1;NP_003492.2;O15254;O15254-2;XP_005248068.1;XP_005248070.1;XP_011511867.1;XP_011511868.1	
ACP1	31	13	13	33	12	12	38	16	16	45	15	15	41	15	15	30	15	15	50	15	15	34	15	15	32	13	13	36	16	16	45	14	14	34	16	16	449	25	25	52	HGNC:122	acid phosphatase 1, soluble	Homo sapiens	2	2p25.3	D3YTI2;F2Z2Q9;G5E9R5;NP_001035739.1;NP_004291.1;NP_009030.1;P24666;P24666-2;P24666-3;P24666-4	
ACP2	25	11	11	21	11	11	15	10	10	23	10	10	8	7	7	8	5	5	14	9	9	12	9	9	10	7	7	13	10	10	20	12	12	12	8	8	181	19	19	53	HGNC:123	acid phosphatase 2, lysosomal	Homo sapiens	11	11p11.2|11p12-p11	B7Z6U3;B7Z7D2;E9PHY0;E9PKW9;E9PP23;E9PQW9;E9PQY3;NP_001289418.1;NP_001289419.1;NP_001289420.1;NP_001289421.1;NP_001601.1;P11117;P11117-2	
ACP5	1	1	1	0	0	0	2	2	2	2	2	2	0	0	0	1	1	1	1	1	1	3	3	3	0	0	0	0	0	0	3	3	3	3	3	3	16	6	6	54	HGNC:124	acid phosphatase 5, tartrate resistant	Homo sapiens	19	19p13.2	K7EIP0;K7EJD9;K7ESF2;NP_001104504.1;NP_001104505.1;NP_001104506.1;NP_001308952.1;NP_001602.1;P13686;XP_005259995.1;XP_011526371.1	
ACP6	5	5	5	6	5	5	2	2	2	12	8	8	6	6	6	6	5	5	7	6	6	7	6	6	5	3	3	2	1	1	11	7	7	12	10	10	81	16	16	51205	HGNC:29609	acid phosphatase 6, lysophosphatidic	Homo sapiens	1	1q21.2	A0A087WW36;A0A087WWB7;A0A087WYU6;A0A0A0MS36;NP_001310554.1;NP_057445.4;Q9NPH0;Q9NPH0-2;V9GZ71;X5D289;XP_011507903.1;XP_016856911.1	
ACPP	6	4	4	3	3	3	0	0	0	10	8	8	6	6	6	4	4	4	1	1	1	5	4	4	1	1	1	9	7	7	4	4	4	14	9	9	63	14	14	55	HGNC:125	acid phosphatase, prostate	Homo sapiens	3	3q22.1	E9PFE6;NP_001090.2;NP_001127666.1;NP_001278966.1;P15309;P15309-2;P15309-3;XP_011511248.1;XP_011511249.1	
ACSF2	50	28	28	31	21	21	30	20	20	32	23	23	30	24	24	28	20	20	51	27	27	45	25	25	33	20	20	50	26	26	39	23	23	56	30	30	475	44	44	80221	HGNC:26101	acyl-CoA synthetase family member 2	Homo sapiens	17	17q21.33	D6RF87;E9PF16;NP_001275897.1;NP_001275898.1;NP_001275899.1;NP_001275900.1;NP_001275901.1;NP_079425.3;Q96CM8;Q96CM8-2;Q96CM8-3;Q96CM8-4;XP_006722173.1;XP_011523596.1	CPTAC-5;CPTAC-6
ACSF3	22	18	16	25	17	15	26	19	17	34	21	19	20	16	14	18	14	12	26	18	16	22	13	13	20	15	13	34	26	25	31	19	18	28	22	20	306	39	37	197322	HGNC:27288	acyl-CoA synthetase family member 3	Homo sapiens	16	16q24.3	F5GX20;F5H2G6;F5H362;F5H3B2;F5H5A1;F5H755;H0YGC7;H0YGJ0;H0YH37;NP_001120686.1;NP_001230208.1;NP_001271245.1;NP_777577.2;Q4G176;XP_005256350.1;XP_011521244.1;XP_011521245.1;XP_016878507.1;XP_016878508.1;XP_016878510.1;XP_016878511.1	
ACSL1	109	46	43	102	48	44	47	30	27	118	50	47	58	28	25	62	37	35	64	36	33	128	59	54	59	30	27	63	35	32	66	39	36	56	33	31	932	79	73	2180	HGNC:3569	acyl-CoA synthetase long chain family member 1	Homo sapiens	4	4q35.1	B7Z3Z9;D6RER0;D6RG07;E7EPM6;H0Y9U7;H0Y9Z9;NP_001273637.1;NP_001273639.1;NP_001273640.1;NP_001273641.1;NP_001986.2;P33121;P33121-2;P33121-3;XP_005262885.1;XP_005262886.1;XP_005262888.1;XP_011530044.1;XP_016863376.1;XP_016863377.1;XP_016863378.1	CPTAC-305;CPTAC-306
